"id","title","value","link","group"
"31","Wirkung von Bromhexin auf die klinischen Ergebnisse und die Sterblichkeit bei COVID-19-Patienten: Eine randomisierte klinische Studie","1","https://bi.tbzmed.ac.ir/FullHtml/bi-23240","Therapeutics"
"32","BioImpacts","1","","BioImpacts"
"33","Warum impfen wir Kinder gegen COVID-19?","1","https://www.sciencedirect.com/science/article/pii/S221475002100161X?via%3Dihub","Vaccines"
"34","ScienceDirect","10","","ScienceDirect"
"35","Stellen COVID-19-Impfstoffe auf RNA-Basis ein Risiko für immunvermittelte Krankheiten dar? In Antwort auf ""Potenzielle antigene Kreuzreaktivität zwischen SARS-CoV-2 und menschlichem Gewebe mit möglicher Verbindung zu einer Zunahme von Autoimmunerkrankungen""","1","https://www.sciencedirect.com/science/article/pii/S1521661621000024?via%3Dihub","Vaccines"
"36","Vitamin-D-Supplementierung vor oder während der COVID-19-Studie geht mit einer besseren 3-Monats-Überlebensrate bei geriatrischen Patienten einher: Verlängerungsphase der GERIA-COVID-Studie","1","https://www.sciencedirect.com/science/article/pii/S0960076021001515","Therapeutics"
"37","The Journal of Steroid Biochemistry and Molecular Biology","3","","The Journal of Steroid Biochemistry and Molecular Biology"
"38","Die Rolle des Vitamin-D-Mangels auf das Covid-19: Eine systematische Überprüfung und Meta-Analyse von Beobachtungsstudien","1","https://www.e-epih.org/journal/view.php?doi=10.4178/epih.e2021074","Therapeutics"
"39","Epidemiology and Health","1","","Epidemiology and Health"
"40","Nicht-pharmakologische Maßnahmen zur Vorbeugung und Behandlung der COVID-19-Infektion","1","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8563044/","Therapeutics"
"41","Medical Archives","1","","Medical Archives"
"42","ACE2 und angeborene Immunität bei der Regulierung von SARS-CoV-2-induzierten akuten Lungenverletzungen: Ein Überblick","1","https://www.mdpi.com/1422-0067/22/21/11483/htm","Therapeutics"
"43","International Journal of Molecular Sciences","7","","International Journal of Molecular Sciences"
"44","Adipositas und schwere Coronavirus-Erkrankungen 2019: Molekulare Mechanismen, Lösungsansätze und therapeutische Möglichkeiten","1","https://www.thno.org/v11p8234.htm","Therapeutics"
"45","Theranostics","1","","Theranostics"
"46","Untersuchung des Potenzials von ultraviolettem Licht zur Beeinflussung der Morbidität und Mortalität durch COVID-19: A Narrative Review and Update","1","https://www.frontiersin.org/articles/10.3389/fcvm.2020.616527/full","Therapeutics"
"47","Frontiers in Cardiovascular Medicine","1","","Frontiers in Cardiovascular Medicine"
"48","COVID-19 und Selenmangel: ein systematischer Überblick","1","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8569840/?s=03","Therapeutics"
"49","Biological Trace Element Research","3","","Biological Trace Element Research"
"50","Die Auswirkung von aerobem Training auf Immunbiomarker und den Schweregrad und das Fortschreiten der Symptome bei Patienten mit COVID-19: Eine randomisierte Kontrollstudie","1","https://www.bodyworkmovementtherapies.com/article/S1360-8592(21)00167-4/fulltext","Therapeutics"
"51","Journal of Bodywork and Movement Therapies","1","","Journal of Bodywork and Movement Therapies"
"52","Veränderungen der körperlichen Aktivität und des sitzenden Verhaltens vor und während der COVID-19-Pandemie: eine systematische Übersicht","1","https://bmjopensem.bmj.com/content/7/1/e000960","Therapeutics"
"53","BMJ Open Sport & Exercise Medicine","1","","BMJ Open Sport & Exercise Medicine"
"54","Zusammenhang zwischen Vitamin D und COVID-19 bei älteren Menschen: Eine systematische Überprüfung","1","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8073922/","Therapeutics"
"55","Vitamin D, Zink und Glutamin: Synergistische Wirkung mit dem Immunmodulator OncoTherad bei der Interferonsignalisierung und COVID-19","1","https://www.spandidos-publications.com/ijmm/47/3/11","Therapeutics"
"56","International Journal of Molecular Medicine","2","","International Journal of Molecular Medicine"
"57","Zerebrale Venenthrombose nach Impfung gegen COVID-19 im Vereinigten Königreich: eine multizentrische Kohortenstudie","1","https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(21)01608-1/fulltext","Vaccines"
"58","The Lancet","14","","The Lancet"
"59","Unzureichende Beweise für die Verwendung von Vitamin D bei COVID-19: Eine schnelle systematische Überprüfung","1","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8420259/","Therapeutics"
"60","International Journal of Clinical Practice","2","","International Journal of Clinical Practice"
"61","Nano-Biofortifikation verschiedener Nutzpflanzen zur Immunisierung gegen COVID-19: Eine Übersicht","1","https://www.sciencedirect.com/science/article/pii/S0147651321006126","Therapeutics"
"62","Ecotoxicology and Environmental Safety","1","","Ecotoxicology and Environmental Safety"
"63","Abklingen der Spike-Antikörper nach der zweiten Dosis von BNT162b2 oder ChAdOx1","1","https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(21)01642-1/fulltext","Vaccines"
"64","Die Vitamin D für COVID-19 (VIVID) Studie: Ein pragmatisches cluster-randomisiertes Design","1","https://www.sciencedirect.com/science/article/pii/S1551714420302548?via%3Dihub","Therapeutics"
"65","Contemporary Clinical Trials","1","","Contemporary Clinical Trials"
"66","Auswirkungen von Vitamin D auf COVID-19-Infektion und Prognose: A Systematic Review","1","https://www.dovepress.com/effects-of-vitamin-d-on-covid-19-infection-and-prognosis-a-systematic--peer-reviewed-fulltext-article-RMHP","Therapeutics"
"67","Risk Management and Healthcare Policy","1","","Risk Management and Healthcare Policy"
"68","Das Aufkommen wirksamer oraler Anti-COVID-19-Medikamente in der Ära nach der Impfung","1","https://www.thelancet.com/journals/lanmic/article/PIIS2666-5247(21)00278-0/fulltext","Therapeutics"
"69","Die Wirkung einer frühzeitigen Behandlung mit Ivermectin auf die Viruslast, die Symptome und die humorale Reaktion bei Patienten mit nicht schwerem COVID-19: Eine doppelblinde, placebokontrollierte, randomisierte klinische Pilotstudie","1","https://www.thelancet.com/journals/eclinm/article/PIIS2589-5370(20)30464-8/fulltext","Therapeutics"
"70","Selen zu Selenoproteinen - Rolle bei COVID-19","1","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8144537/","Therapeutics"
"71","EXCLI Journal","1","","EXCLI Journal"
"72","Autokrine Vitamin D-Signalisierung schaltet pro-inflammatorische Programme von TH1-Zellen aus","1","https://www.nature.com/articles/s41590-021-01080-3?s=03","Therapeutics"
"73","Nature Immunology","2","","Nature Immunology"
"74","Sonnenlichtexposition und Phototherapie: Perspektiven für gesundes Altern in einer Ära von COVID-19","1","https://pubmed.ncbi.nlm.nih.gov/34682694/","Therapeutics"
"75","Bromhexinhydrochlorid-Tabletten für die Behandlung von mäßigem COVID-19: Eine offene, randomisierte, kontrollierte Pilotstudie","1","https://ascpt.onlinelibrary.wiley.com/doi/full/10.1111/cts.12881","Therapeutics"
"76","Clinical and Translational Science","2","","Clinical and Translational Science"
"77","Immunologische Aspekte der SARS-CoV-2-Infektion und die vermutete positive Rolle von Vitamin D","1","https://www.mdpi.com/1422-0067/22/10/5251/htm","Therapeutics"
"78","Eine Übersicht über die Rolle von Mikronährstoffen und bioaktiven Verbindungen bei der Unterstützung des Immunsystems im Kampf gegen die COVID-19-Krankheit","1","https://www.mdpi.com/2304-8158/10/5/1088/htm","Therapeutics"
"79","Foods","1","","Foods"
"80","Vitamin-D-Supplementierung und klinische Ergebnisse bei COVID-19: eine systematische Überprüfung und Meta-Analyse","1","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8223190/","Therapeutics"
"81","NLM","4","","NLM"
"82","Psychische Gesundheit und körperliches Aktivitätsniveau während der COVID-19-Pandemie: Eine systematische Überprüfung","1","https://www.mdpi.com/1660-4601/17/24/9419/htm","Therapeutics"
"83","International Journal of Environment Research and Public Health","2","","International Journal of Environment Research and Public Health"
"84","Nahrungsergänzungsmittel und Nutrazeutika, die zur Prävention und Behandlung von COVID-19 untersucht werden","1","https://journals.asm.org/doi/10.1128/mSystems.00122-21","Therapeutics"
"85","mSystems","1","","mSystems"
"86","Wirkung einer Calcifediol-Behandlung und der besten verfügbaren Therapie im Vergleich zur besten verfügbaren Therapie auf die Aufnahme in die Intensivstation und die Sterblichkeit bei Patienten, die wegen COVID-19 stationär behandelt werden: Eine randomisierte klinische Pilotstudie","1","https://www.sciencedirect.com/science/article/pii/S0960076020302764","Therapeutics"
"87","Ein einfacher Algorithmus für die Heimtherapie zur Vermeidung von Krankenhausaufenthalten bei COVID-19-Patienten: Eine retrospektive, beobachtende Matched-Cohort-Studie","1","https://www.thelancet.com/journals/eclinm/article/PIIS2589-5370(21)00221-2/fulltext","Therapeutics"
"88","ZURÜCKGEZOGEN: Ein Bericht über unerwünschte Myokarditis-Ereignisse im U.S. Vaccine Adverse Events Reporting System (VAERS) in Verbindung mit COVID-19 injizierbaren biologischen Produkten","1","https://www.sciencedirect.com/science/article/pii/S0146280621002267?via%3Dihub","Vaccines"
"89","Die Auswirkungen von Vitamin D auf das Immunsystem und entzündliche Erkrankungen","1","https://www.mdpi.com/2218-273X/11/11/1624/htm","Therapeutics"
"90","Biomolecules","1","","Biomolecules"
"91","Women’s Lives Matter - Die dringende Notwendigkeit für Frauen einer optimalen körperlichen Aktivität, um das Risiko und den Schweregrad von COVID-19-Erkrankungen zu reduzieren","1","https://www.mdpi.com/1660-4601/18/19/10271/htm","Therapeutics"
"92","Die immunmodulatorische Rolle von Nährstoffen: Wie können sich Lungenfunktionsstörungen verbessern?","1","https://www.frontiersin.org/articles/10.3389/fnut.2021.674258/full","Therapeutics"
"93","Frontiers in Nutrition","3","","Frontiers in Nutrition"
"94","Die Rolle einer entzündungshemmenden Ernährung in Verbindung mit COVID-19","1","https://www.mdpi.com/2079-9721/9/4/76/htm","Therapeutics"
"95","Diseases","1","","Diseases"
"96","Der Zusammenhang zwischen Vitamin D und der Darmmikrobiota: Eine systematische Überprüfung von Humanstudien","1","https://www.mdpi.com/2072-6643/13/10/3378/htm","Therapeutics"
"97","Die Rolle von Vitamin D bei der Regulierung des Schweregrads von COVID-19 - eine immunologische Perspektive","1","https://jlb.onlinelibrary.wiley.com/doi/10.1002/JLB.4COVR1020-698R","Therapeutics"
"98","Journal of Leukocyte Biologyy","1","","Journal of Leukocyte Biologyy"
"99","Der mögliche Nutzen von Vitamin D in COVID-19","1","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8149468/","Therapeutics"
"100","Nutrition","3","","Nutrition"
"101","Vitamin-D-Supplementierung und klinische Ergebnisse bei COVID-19: eine systematische Überprüfung und Meta-Analyse","1","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8223190/","Therapeutics"
"102","Journal of Endocrinological Investigation","1","","Journal of Endocrinological Investigation"
"103","Korrelation von Vitamin-D-Spiegeln mit COVID-19-Schweregrad und Verlauf","1","https://ijcp.in/Pages/Post_Detail.aspx?wid=21011&Correlation%20of%20Vitamin%20D%20Levels%20with%20COVID-19%20Severity%20and%20Outcome","Therapeutics"
"104","Indian Journal of Clinical Practice","1","","Indian Journal of Clinical Practice"
"105","Vitamin-D-Mangel und Therapieergebnis von COVID-19-Patienten","1","https://www.mdpi.com/2072-6643/12/9/2757/htm","Therapeutics"
"106","COVID-19 ambulante Patienten: frühe risikostratifizierte Behandlung mit Zink plus niedrig dosiertem Hydroxychloroquin und Azithromycin: eine retrospektive Fallserienstudie","1","https://www.sciencedirect.com/science/article/pii/S0924857920304258","Therapeutics"
"107","International Journal of Antimicrobial Agents","1","","International Journal of Antimicrobial Agents"
"108","SARS-CoV-2 löst unabhängig vom Schweregrad der Erkrankung robuste adaptive Immunreaktionen aus","1","https://www.thelancet.com/journals/ebiom/article/PIIS2352-3964(21)00203-6/fulltext","Immunity"
"109","Vitamin-D-Regulierung des Immunsystems und seine Auswirkungen auf COVID-19: Ein kleiner Überblick","1","https://journals.sagepub.com/doi/10.1177/20503121211014073","Therapeutics"
"110","SAGE Open Medicine","1","","SAGE Open Medicine"
"111","Auswirkung einer Vitamin-D-Supplementierung auf den Muskelstatus bei älteren Patienten, die sich von einer COVID-19-Infektion erholen","1","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8537350/","Therapeutics"
"112","Medicina (Kaunas, Lithuania)","1","","Medicina (Kaunas, Lithuania)"
"113","Vitamin-D-Mangel: ein Problem für rheumatoide Arthritis und COVID-19?","1","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8401347/","Therapeutics"
"114","Intravenöses hochdosiertes Vitamin C zur Behandlung von schwerem COVID-19: Studienprotokoll für eine multizentrische randomisierte kontrollierte Studie","1","https://bmjopen.bmj.com/content/10/7/e039519.long","Therapeutics"
"115","BMJ Open","3","","BMJ Open"
"116"," Eine systematische Übersichtsarbeit zu Detrainingseffekten nach Gleichgewichts- und Sturzpräventionsinterventionen","1","https://www.mdpi.com/2077-0383/10/20/4656/htm","Therapeutics"
"117","Journal of Clinical Medicine","2","","Journal of Clinical Medicine"
"118","Das Zusammenspiel von Ernährung und COVID-19: ein Überblick","1","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8627159/","Therapeutics"
"119","Current Nutrition Reports","3","","Current Nutrition Reports"
"120","COVID-19-Pandemie und verminderte körperliche Aktivität: Gibt es einen Einfluss auf gesunde und asthmatische Kinder?","1","https://www.frontiersin.org/articles/10.3389/fped.2021.695703/full","Therapeutics"
"121","Frontiers in Pediatrics","1","","Frontiers in Pediatrics"
"122","Impfstoffinduzierte thrombotische Thrombozytopenie: Das düstere Kapitel einer Erfolgsgeschichte.","1","https://www.sciencedirect.com/science/article/pii/S2589936821000256","Vaccines"
"123","Metabolism Open","3","","Metabolism Open"
"124","Stoffwechsel- und Entzündungszustand bei SARS-CoV-2 und die potenzielle Rolle gewohnheitsmäßiger Bewegung bei der Verringerung des Schweregrads der Erkrankung","1","https://link.springer.com/article/10.1007%2Fs00011-021-01517-3","Therapeutics"
"125","Inflammation Research","2","","Inflammation Research"
"126","SARS-CoV-2-Spike beeinträchtigt DNA-Schadensreparatur und hemmt V(D)J-Rekombination in vitro","1","https://www.mdpi.com/1999-4915/13/10/2056","Virus"
"127","Virus","8","","Virus"
"128","MDPI","1","","MDPI"
"129","COVID-19 und IL-6: Warum Vitamin D (wahrscheinlich) hilft, Tocilizumab aber vielleicht nicht","1","https://www.sciencedirect.com/science/article/pii/S0014299921001849","Therapeutics"
"130","European Journal of Pharmacology","1","","European Journal of Pharmacology"
"131","Vitamin-D-Supplementierung beugt Rachitis und akuten Atemwegsinfektionen vor, wenn sie als tägliche Erhaltungsdosis, nicht aber als intermittierender Bolus verabreicht wird: Auswirkungen auf COVID-19","1","https://www.rcpjournals.org/content/clinmedicine/21/2/e144","Therapeutics"
"132","Clinical Medicine Journal","1","","Clinical Medicine Journal"
"133","Möglicher Nutzen einer Vitamin-D-Supplementierung bei Menschen mit Atemwegserkrankungen während der COVID-19-Pandemie","1","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8239894/","Therapeutics"
"134","Die Rolle von Vitaminen und Mineralien als Immunitätsverstärker in COVID-19","1","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8190991/","Therapeutics"
"135","Inflammopharmacology","2","","Inflammopharmacology"
"136","Die Rolle der Ernährung bei der Anfälligkeit für COVID-19 und der Schwere der Erkrankung: Systematic Review","1","https://academic.oup.com/jn/article/151/7/1854/6274856","Therapeutics"
"137","The Journal of Nutrition","1","","The Journal of Nutrition"
"138","Übertragung in der Gemeinschaft und Kinetik der Viruslast der SARS-CoV-2 delta (B.1.617.2)-Variante bei geimpften und ungeimpften Personen im Vereinigten Königreich: eine prospektive Längsschnitt-Kohortenstudie","1","https://www.thelancet.com/journals/laninf/article/PIIS1473-3099%2821%2900648-4/fulltext","Virus"
"139","TMPRSS2: Ein potenzielles Ziel für die Behandlung von Infektionen mit Influenza- und Coronaviren","1","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7116903/","Therapeutics"
"140","Biochimie","1","","Biochimie"
"141","Vitamin D in Corona Virus Disease 2019 (COVID-19) Related Multisystem Inflammatory Syndrome in Children (MIS-C)","1","https://www.frontiersin.org/articles/10.3389/fimmu.2021.648546/full","Therapeutics"
"142","Frontiers in Immunology","2","","Frontiers in Immunology"
"143","Ernährung und die Covid-19-Pandemie: Drei Faktoren mit großem Einfluss auf die Gesundheit der Bevölkerung","1","https://www.nmcd-journal.com/article/S0939-4753(20)30509-3/fulltext","Therapeutics"
"144","Nutrition, Metabolism and Cardiovascular Diseases","1","","Nutrition, Metabolism and Cardiovascular Diseases"
"145","Hydroxychloroquin und Azithromycin zur Behandlung von COVID-19: Ergebnisse einer offenen nicht-randomisierten klinischen Studie","1","https://www.sciencedirect.com/science/article/pii/S0924857920300996?via%3Dihub","Therapeutics"
"146","Aktive Vitamin-D-Supplementierung und COVID-19-Infektionen: Übersicht","1","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7787599/","Therapeutics"
"147","Irish Journal of Medical Science","1","","Irish Journal of Medical Science"
"148","SARS-CoV-2-Spike beeinträchtigt DNA-Schadensreparatur und hemmt V(D)J-Rekombination in vitro","1","https://www.mdpi.com/1999-4915/13/10/2056","Virus"
"149","viruses","1","","viruses"
"150","COVID-19 und Diabetes","1","https://www.mdpi.com/2077-0383/10/22/5341/htm","Therapeutics"
"151","Vorläufige Ergebnisse zur Sicherheit des mRNA-Impfstoffs Covid-19 bei Schwangeren","1","https://www.nejm.org/doi/10.1056/NEJMoa2104983","Vaccines"
"152","The New England Journal of Medicine","1","","The New England Journal of Medicine"
"153","Adenovirale Vektor-DNA- und SARS-CoV-2-mRNA-basierte Covid-19-Impfstoffe: Mögliche Integration in das menschliche Genom - Werden Adenovirus-Gene in vektorbasierten Impfstoffen exprimiert?","1","https://www.sciencedirect.com/science/article/pii/S0168170221001738?via%3Dihub","Vaccines"
"154","Ergebnisse der offenen, nicht-randomisierten klinischen Vergleichsstudie: ""Bromhexin und Spironolacton bei hospizpflichtiger Coronavirus-Infektion (BISCUIT)""","1","https://covid-19.cochrane.org/studies/crs-16367311","Therapeutics"
"155","Kardiologiia","1","","Kardiologiia"
"156","Mikronährstoffe für den potenziellen therapeutischen Einsatz gegen COVID-19; eine Übersicht","1","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8487093/","Therapeutics"
"157","Clinical Nutrition ESPEN","3","","Clinical Nutrition ESPEN"
"158","Auswirkungen des Vitamin-D-Mangels auf die COVID-19-Infektion und -Mortalität in asiatischen Ländern","1","https://www.sciencedirect.com/science/article/pii/S1871402121000746","Therapeutics"
"159","Diabetes & Metabolic Syndrome Clinical Research & Reviews","1","","Diabetes & Metabolic Syndrome Clinical Research & Reviews"
"160","Vitamin-D-Supplementierung zur Behandlung von SARS-CoV-2-positiven Patienten. Beweise aus Meta-Analyse","1","https://journals.viamedica.pl/cardiology_journal/article/view/85559","Therapeutics"
"161","Cardiology Journal","2","","Cardiology Journal"
"162","Die Rolle von Mikronährstoffen zur Unterstützung der Immunität für die COVID-19-Prävention","1","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8412872/","Therapeutics"
"163","Revista Brasileira de Farmacognosia","1","","Revista Brasileira de Farmacognosia"
"164","Psychische Gesundheit und die Rolle der körperlichen Aktivität während der COVID-19-Pandemie","1","https://www.frontiersin.org/articles/10.3389/fpsyg.2021.759987/full","Therapeutics"
"165","Frontiers in Psychology","2","","Frontiers in Psychology"
"166","Todesfälle im Zusammenhang mit der neu eingeführten SARS-CoV-2-Impfung (Comirnaty®)","1","https://pubmed.ncbi.nlm.nih.gov/33895650/","Vaccines"
"167","Elsevier","2","","Elsevier"
"168","Korrelate der neutralisierenden/SARS-CoV-2-S1-bindenden Antikörperreaktion mit unerwünschten Wirkungen und Immunkinetik bei BNT162b2-geimpften Personen","1","https://www.medrxiv.org/content/10.1101/2021.07.27.21261237v1.full","Vaccines"
"169","medRxiv","3","","medRxiv"
"170","Ernährung während der aktuellen COVID-19-Pandemie. Ein narrativer Rückblick","1","https://www.mdpi.com/2072-6643/13/6/1924/htm","Therapeutics"
"171","Entwicklung der Antikörperreaktionen bis zu 13 Monate nach einer SARS-CoV-2-Infektion und Risiko einer Reinfektion","1","https://www.thelancet.com/journals/ebiom/article/PIIS2352-3964(21)00354-6/fulltext","Immunity"
"172","Vitamine und andere immununterstützende Elemente als Kofaktoren für das Überstehen der COVID-19-Pandemie","1","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8554510/","Therapeutics"
"173","Beni-Suef University Journal of Basic and Applied Sciences","2","","Beni-Suef University Journal of Basic and Applied Sciences"
"174","Impfstoff-induzierte immunthrombotische Thrombozytopenie und zerebrale venöse Sinusthrombose nach COVID-19-Impfung; eine systematische Übersicht.","1","https://www.jns-journal.com/article/S0022-510X(21)00301-4/fulltext","Vaccines"
"175","Journal of Neurological Sciences","2","","Journal of Neurological Sciences"
"176","COVID-19 Krankheitsschwere und Tod im Verhältnis zum Vitamin-D-Status bei SARS-CoV-2-positiven Einwohnern der Vereinigten Arabischen Emirate","1","https://www.mdpi.com/2072-6643/13/5/1714/htm","Therapeutics"
"177","Mögliche physiologische und zelluläre Mechanismen von Bewegung, die das Risiko schwerer Komplikationen und der Sterblichkeit nach einer SARS-CoV-2-Infektion verringern","1","https://www.mdpi.com/2075-4663/9/9/121/htm","Therapeutics"
"178","Sports","1","","Sports"
"179","Ist Hesperidin für die Prophylaxe und Behandlung der COVID-19-Infektion unerlässlich?","1","https://www.sciencedirect.com/science/article/pii/S030698772031358X?via%3Dihub","Therapeutics"
"180","Medical Hypotheses","1","","Medical Hypotheses"
"181","Niedriger Vitamin-D-Status steht in Zusammenhang mit den Ergebnissen der Coronavirus-Erkrankung 2019: eine systematische Überprüfung und Meta-Analyse","1","https://www.ijidonline.com/article/S1201-9712(20)32600-X/fulltext","Therapeutics"
"182","International Journal of Infectious Diseases","2","","International Journal of Infectious Diseases"
"183","StudientAbstract 10712: Mrna COVID-Impfstoffe erhöhen drastisch die Entzündungsmarker im Endothel und das ACS-Risiko, gemessen mit dem PULS-Herztest: eine Warnungitel","1","https://www.ahajournals.org/doi/10.1161/circ.144.suppl_1.10712","Vaccines"
"184","AHA","1","","AHA"
"185","Ein mechanistischer Zusammenhang zwischen Selen und Coronavirus-Erkrankungen 2019 (COVID-19)","1","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8033553/","Therapeutics"
"186","Zusammenhang zwischen Vitamin-D-Mangel und der Schwere der COVID-19-Infektion: Systematische Überprüfung und Meta-Analyse","1","https://onlinelibrary.wiley.com/doi/10.1111/cen.14540","Therapeutics"
"187","Reviews in endocrine & metabolic disorders","1","","Reviews in endocrine & metabolic disorders"
"188","Patientenernährung und probiotische Therapie bei COVID-19: Was wissen wir im Jahr 2021?","1","https://www.mdpi.com/2072-6643/13/10/3385/htm","Therapeutics"
"189","Adipositas in der COVID-19-Ära, Implikationen für Mechanismen, Komorbiditäten und Prognose: eine Übersichtsarbeit und Meta-Analyse","1","https://www.nature.com/articles/s41366-021-00776-8","Therapeutics"
"190","International Journal of Obesity","1","","International Journal of Obesity"
"191","Der Zusammenhang zwischen Vitamin D und Infektionen einschließlich COVID-19: Any Hopes?","1","https://www.dovepress.com/the-relationship-between-vitamin-d-and-infections-including-covid-19-a-peer-reviewed-fulltext-article-IJGM","Therapeutics"
"192","International Journal of General Medicine","2","","International Journal of General Medicine"
"193","Auswirkungen der COVID-19-Pandemie auf das körperliche Aktivitätsniveau von Universitätsstudenten: Eine frühe systematische Überprüfung","1","https://www.frontiersin.org/articles/10.3389/fpsyg.2020.624567/full","Therapeutics"
"194","Schnelle und wirksame Vitamin D-Supplementierung kann bei COVID-19 (SARS-CoV-2) Patienten durch Veränderung von INOS1, IL1B, IFNg, Cathelicidin-LL37 und ICAM1 im Serum zu besseren klinischen Ergebnissen führen""","1","https://www.mdpi.com/2072-6643/13/11/4047/htm","Therapeutics"
